"","ID","Trial","Option1_PPT","Option1_Partner","Option2_PPT","Option2_Partner","PPTActions","Action","Correct","FixActions","Phase"
"105",NA,105,10,5,10,10,2,2,NA,NA,3
"106",NA,106,10,6,8,2,1,2,NA,NA,3
"107",NA,107,11,6,9,2,2,2,NA,NA,3
"108",NA,108,12,6,10,2,1,2,NA,NA,3
"109",NA,109,4,4,8,4,1,1,NA,NA,3
"110",NA,110,5,5,8,5,2,1,NA,NA,3
"111",NA,111,6,6,8,6,2,1,NA,NA,3
"112",NA,112,5,5,5,1,1,1,NA,NA,3
"113",NA,113,6,6,6,1,1,1,NA,NA,3
"114",NA,114,7,7,7,1,1,1,NA,NA,3
"115",NA,115,5,1,7,5,1,2,NA,NA,3
"116",NA,116,6,1,7,5,1,2,NA,NA,3
"117",NA,117,7,1,8,5,2,2,NA,NA,3
"118",NA,118,10,6,6,6,1,2,NA,NA,3
"119",NA,119,10,7,7,7,2,2,NA,NA,3
"120",NA,120,10,8,8,8,1,2,NA,NA,3
"121",NA,121,6,3,6,6,2,2,NA,NA,3
"122",NA,122,7,3,7,7,2,2,NA,NA,3
"123",NA,123,8,3,8,8,2,2,NA,NA,3
"124",NA,124,9,5,7,1,2,2,NA,NA,3
"125",NA,125,10,5,8,1,1,2,NA,NA,3
"126",NA,126,11,5,9,1,1,2,NA,NA,3
